公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,10596314.0,10876929,11023422,-2.57,-3.87,35952645,35202634,2.13
1102,亞泥,8434811.0,8318969,7188266,1.39,17.34,27825416,23762145,17.09
1103,嘉泥,160751.0,166883,170887,-3.67,-5.93,613142,642144,-4.51
1104,環球水泥,418992.0,437140,385013,-4.15,8.82,1606289,1551110,3.55
1108,幸福水泥,323834.0,313093,280705,3.43,15.36,1158181,1113366,4.02
1109,信大水泥,753252.0,541582,545209,39.08,38.15,2113686,1606589,31.56
1110,東泥,118229.0,147819,117755,-20.01,0.40,535268,530247,0.94
1201,味全公司,1695994.0,1598137,1497842,6.12,13.22,6236394,5400590,15.47
1203,味王公司,469207.0,514903,482643,-8.87,-2.78,1971389,1938471,1.69
1210,大成長城,6424220.0,6130106,5558027,4.79,15.58,24702328,22757130,8.54
1213,大飲,28570.0,29047,36719,-1.64,-22.19,160968,185809,-13.36
1215,卜蜂企業,1739496.0,1686202,1686807,3.16,3.12,6774793,6644047,1.96
1216,統一,36918812.0,36804987,35313668,0.30,4.54,144694685,139601931,3.64
1217,愛之味,287677.0,313572,252532,-8.25,13.91,1283957,1280966,0.23
1218,泰山企業,592778.0,599053,656563,-1.04,-9.71,2366233,2524487,-6.26
1219,福壽實業,1038477.0,1055161,1019797,-1.58,1.83,4008884,3890159,3.05
1220,台榮,209667.0,208035,201953,0.78,3.81,822950,776481,5.98
1225,福懋油,889193.0,880257,897122,1.01,-0.88,3366963,3691793,-8.79
1227,佳格,1776586.0,1586997,1389082,11.94,27.89,9113752,8803555,3.52
1229,聯華實業,616100.0,420926,402230,46.36,53.17,1844754,1626672,13.40
1231,聯華食品,642774.0,631653,532319,1.76,20.74,2760844,2549269,8.29
1232,大統益,1328619.0,1437562,1392479,-7.57,-4.58,5487892,5510197,-0.40
1233,天仁,165999.0,180929,166293,-8.25,-0.17,735108,721446,1.89
1234,黑松,618002.0,543860,667340,13.63,-7.39,2763259,2983108,-7.36
1235,興泰,2555.0,1830,2037,39.61,25.42,7251,8083,-10.29
1236,宏亞食品,123213.0,94089,122198,30.95,0.83,623161,693741,-10.17
1702,南僑投控,1479700.0,1515180,1479443,-2.34,0.01,5697136,5749456,-0.90
1737,臺鹽,228226.0,236758,213260,-3.60,7.01,904274,894648,1.07
1301,台塑,19209008.0,18695341,19555897,2.74,-1.77,72221084,73723265,-2.03
1303,南亞塑膠,25074397.0,24967277,27904180,0.42,-10.14,95994516,110124171,-12.83
1304,台聚,4838177.0,4757905,5025991,1.68,-3.73,18326025,19690628,-6.93
1305,華夏,1322372.0,1153354,1031531,14.65,28.19,4550085,5175728,-12.08
1307,三芳化工,892304.0,1025298,725122,-12.97,23.05,3520546,3110484,13.18
1308,亞聚,622183.0,612209,511607,1.62,21.61,2331789,1837750,26.88
1309,台達化工,1588471.0,1602824,1926644,-0.89,-17.55,6188462,6767398,-8.55
1310,台苯,1058511.0,970745,1293172,9.04,-18.14,3995668,5297474,-24.57
1312,國喬石化,1880808.0,1647124,1834146,14.18,2.54,6886931,8248774,-16.50
1313,聯成,5712007.0,6149496,5740646,-7.11,-0.49,21096717,19354629,9.00
1314,中石化,2737182.0,2867391,3058618,-4.54,-10.50,10875213,12558803,-13.40
1315,達新工業,153983.0,192036,160132,-19.81,-3.83,669198,730866,-8.43
1321,大洋,399857.0,358700,385970,11.47,3.59,1443152,1575772,-8.41
1323,永裕,311253.0,302503,318127,2.89,-2.16,1157544,1143577,1.22
1324,地球工業,99656.0,108686,93946,-8.30,6.07,390595,355006,10.02
1325,�琱j,67408.0,68416,62915,-1.47,7.14,263061,292039,-9.92
1326,台化,28942093.0,32072473,33118193,-9.76,-12.60,120374763,132074745,-8.85
4306,炎洲,1470182.0,1378190,1945496,6.67,-24.43,5276088,6968673,-24.28
1402,遠東新,21737013.0,22458329,16960937,-3.21,28.15,83635864,68440671,22.20
1409,新纖,3549872.0,3535097,3502648,0.41,1.34,13399964,12724740,5.30
1410,南染,33432.0,33322,43453,0.33,-23.06,129781,166392,-22.00
1413,宏洲纖維,294785.0,315920,270618,-6.68,8.93,1182558,1171846,0.91
1414,東和,64024.0,78072,71220,-17.99,-10.10,275161,332692,-17.29
1416,廣豐,19058.0,18545,21707,2.76,-12.20,75136,78328,-4.07
1417,嘉裕,108302.0,96359,106437,12.39,1.75,481874,564595,-14.65
