公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,5085162.0,9394240,4811678,-45.86,5.68,14479402,14429071,0.34
1102,亞泥,3165899.0,7905737,3408539,-59.95,-7.11,11071636,10178525,8.77
1103,嘉泥,108448.0,177060,125590,-38.75,-13.64,285508,297684,-4.09
1104,環球水泥,270638.0,479518,268120,-43.56,0.93,750157,728601,2.95
1108,幸福水泥,168065.0,353189,197481,-52.41,-14.89,521254,517821,0.66
1109,信大水泥,149960.0,668892,182926,-77.58,-18.02,818852,658381,24.37
1110,東泥,82927.0,186293,97264,-55.48,-14.74,269220,250572,7.44
1201,味全公司,1358770.0,1583493,1220516,-14.19,11.32,2942263,2521787,16.67
1203,味王公司,443171.0,544108,452100,-18.55,-1.97,987278,949760,3.95
1210,大成長城,4971488.0,7176513,5485976,-30.72,-9.37,12148001,12139389,0.07
1213,大飲,39925.0,63426,42414,-37.05,-5.86,103351,114193,-9.49
1215,卜蜂企業,1463626.0,1885469,1477686,-22.37,-0.95,3349095,3245606,3.18
1216,統一,29826477.0,41144409,30250749,-27.50,-1.40,70970886,68412717,3.73
1217,愛之味,303197.0,379511,290269,-20.10,4.45,682708,664003,2.81
1218,泰山企業,467918.0,706484,524076,-33.76,-10.71,1174402,1211801,-3.08
1219,福壽實業,715431.0,1199814,808692,-40.37,-11.53,1915246,1817218,5.39
1220,台榮,143511.0,261737,129527,-45.16,10.79,405248,369538,9.66
1225,福懋油,633413.0,964100,788933,-34.30,-19.71,1597513,1820183,-12.23
1227,佳格,1388035.0,4362134,1996808,-68.17,-30.48,5750169,5976890,-3.79
1229,聯華實業,314549.0,493179,331407,-36.22,-5.08,807728,775448,4.16
1231,聯華食品,572959.0,913458,583338,-37.27,-1.77,1486417,1389858,6.94
1232,大統益,1101574.0,1620137,1215211,-32.00,-9.35,2721711,2615638,4.05
1233,天仁,161835.0,226345,191007,-28.50,-15.27,388180,388970,-0.20
1234,黑松,611984.0,989413,756264,-38.14,-19.07,1601397,1637391,-2.19
1235,興泰,1114.0,1752,1394,-36.41,-20.08,2866,3493,-17.95
1236,宏亞食品,78912.0,326947,157336,-75.86,-49.84,405860,428245,-5.22
1702,南僑投控,983725.0,1718531,1146735,-42.75,-14.21,2702256,2810160,-3.83
1737,臺鹽,164679.0,274611,185241,-40.03,-11.10,439290,427893,2.66
1301,台塑,14815825.0,19500909,14112249,-24.02,4.98,34316734,33269000,3.14
1303,南亞塑膠,20957969.0,24994873,23999666,-16.15,-12.67,45952842,53160869,-13.55
1304,台聚,3725362.0,5004581,3891148,-25.56,-4.26,8729943,9437950,-7.50
1305,華夏,881123.0,1193236,1191222,-26.15,-26.03,2074359,2742423,-24.36
1307,三芳化工,692269.0,910675,598839,-23.98,15.60,1602944,1381235,16.05
1308,亞聚,477215.0,620182,397145,-23.05,20.16,1097396,835824,31.29
1309,台達化工,1250603.0,1746564,1189933,-28.39,5.09,2997167,3127104,-4.15
1310,台苯,848455.0,1117957,1312915,-24.10,-35.37,1966412,2671630,-26.39
1312,國喬石化,1454364.0,1904635,1867306,-23.64,-22.11,3359000,4217818,-20.36
1313,聯成,3228374.0,5939881,2594276,-45.64,24.44,9187954,8042090,14.24
1314,中石化,2702854.0,2567786,2923021,5.26,-7.53,5270640,6214130,-15.18
1315,達新工業,131022.0,192157,166222,-31.81,-21.17,323179,373662,-13.51
1321,大洋,249105.0,435535,310012,-42.80,-19.64,684678,773058,-11.43
1323,永裕,236013.0,307775,234815,-23.31,0.51,543788,520563,4.46
1324,地球工業,83062.0,99191,66470,-16.26,24.96,182253,154278,18.13
1325,�琱j,45720.0,81517,65751,-43.91,-30.46,127237,146871,-13.36
1326,台化,27572409.0,31787788,29988599,-13.26,-8.05,59360197,63798236,-6.95
4306,炎洲,927582.0,1500134,1309926,-38.16,-29.18,2427716,2987978,-18.75
1402,遠東新,17985769.0,21454753,15829489,-16.16,13.62,39440522,34647122,13.83
1409,新纖,2842997.0,3471998,2500606,-18.11,13.69,6314994,5592336,12.92
1410,南染,25652.0,37375,31637,-31.36,-18.91,63027,75729,-16.77
1413,宏洲纖維,241280.0,330573,238698,-27.01,1.08,571853,606470,-5.70
1414,東和,65962.0,67103,71226,-1.70,-7.39,133065,142110,-6.36
1416,廣豐,18951.0,18583,19525,1.98,-2.93,37534,39400,-4.73
1417,嘉裕,119313.0,157899,158076,-24.43,-24.52,277417,333682,-16.86
1418,東華,27041.0,11785,49401,129.45,-45.26,38826,87701,-55.72
1419,新紡,123598.0,125881,100745,-1.81,22.68,249479,210162,18.70
1423,利華羊毛,31127.0,42073,51334,-26.01,-39.36,73200,127112,-42.41
1434,福懋興業,3412786.0,3887745,2956909,-12.21,15.41,7300531,6531306,11.77
1439,中和羊毛,26367.0,22506,20871,17.15,26.33,48873,43078,13.45
1440,南紡,1513609.0,2034326,1619825,-25.59,-6.55,3547935,3757266,-5.57
1441,大東紡織,73105.0,148439,106841,-50.75,-31.57,221544,266210,-16.77
1443,立益紡織,41416.0,80328,85477,-48.44,-51.54,121744,180119,-32.40
1444,力麗,887659.0,1185284,675589,-25.11,31.39,2072943,1731974,19.68
1445,大宇紡織,87622.0,164017,103048,-46.57,-14.96,251639,243720,3.24
1446,宏和,21639.0,36057,16297,-39.98,32.77,57696,57469,0.39
1447,力鵬,1143378.0,1262287,1289730,-9.42,-11.34,2405665,2930500,-17.90
1449,佳和實業,165856.0,200961,174490,-17.46,-4.94,366817,362716,1.13
1451,年興紡織,533848.0,841714,542171,-36.57,-1.53,1375562,1141624,20.49
1452,宏益,140035.0,205151,125426,-31.74,11.64,345186,321763,7.27
1453,大將,74.0,125,62,-40.80,19.35,199,1049,-81.02
1454,台富,135856.0,170512,113640,-20.32,19.54,306368,282735,8.35
1455,集盛,1064006.0,1331476,1176670,-20.08,-9.57,2395481,2637491,-9.17
1456,怡華,79414.0,59570,22563,33.31,251.96,138984,48705,185.35
1457,宜進,373380.0,522335,386352,-28.51,-3.35,895715,949190,-5.63
1459,聯發紡織,231172.0,332149,181770,-30.40,27.17,563371,517493,8.86
1460,宏遠,612261.0,843264,609693,-27.39,0.42,1456060,1494878,-2.59
1463,強盛染整,29540.0,71333,88321,-58.58,-66.55,100873,216103,-53.32
1464,得力實業,620621.0,761248,563463,-18.47,10.14,1381869,1254846,10.12
1465,偉全實業,75845.0,101708,41278,-25.42,83.74,177553,180314,-1.53
1466,聚隆,256099.0,383622,281969,-33.24,-9.17,639721,567074,12.81
