公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 902 家
1101,台泥,124594.60,26.96,22.62,24.52,18.17,
1102,亞泥,82741.00,25.59,21.94,24.62,17.99,
1103,嘉泥,2092.41,13.79,-4.95,20.45,36.76,
1104,環球水泥,4780.99,11.94,3.82,23.59,21.99,
1108,幸福水泥,3330.60,1.40,-4.66,-5.75,-6.05,
1109,信大水泥,6701.13,32.59,26.19,26.25,18.71,
1110,東泥,1676.19,8.62,2.42,4.25,3.91,
1201,味全公司,19436.76,31.07,2.64,5.11,4.47,
1203,味王公司,6081.03,32.40,16.06,16.77,11.58,
1210,大成長城,72442.93,13.93,3.14,4.18,3.33,
1213,大飲,594.24,5.67,-5.38,-11.49,-10.50,
1215,卜蜂企業,21235.09,13.46,6.05,6.16,4.69,
1216,統一,431445.52,33.67,6.25,8.18,6.25,
1217,愛之味,4321.82,31.94,1.55,1.35,1.45,
1218,泰山企業,7901.67,18.12,1.14,6.22,5.88,
1219,福壽實業,11709.98,6.75,-0.71,-0.72,-0.82,
1220,台榮,2747.26,12.28,4.02,4.89,4.10,
1225,福懋油,11243.51,8.09,3.04,3.37,2.67,
1227,佳格,27340.59,30.19,11.52,13.45,10.86,
1229,聯華實業,5097.82,16.32,5.89,48.47,48.52,
1231,聯華食品,8116.88,21.91,7.64,8.35,6.67,
1232,大統益,16948.75,10.96,6.56,6.82,5.47,
1233,天仁,2193.12,57.28,7.50,9.92,7.97,
1234,黑松,8901.63,23.79,2.51,9.02,7.82,
1235,興泰,57.65,46.42,9.82,183.14,183.81,
1236,宏亞食品,1972.59,26.71,0.34,0.91,0.67,
1256,鮮活果汁-KY,3221.24,35.52,18.76,19.40,13.71,
1262,綠悅-KY,3859.45,-0.57,-10.43,-13.39,-11.51,
1301,台塑,230370.03,16.19,11.00,24.78,21.51,
1303,南亞塑膠,333061.56,14.73,8.83,18.47,15.81,
1304,台聚,60892.51,9.52,3.17,4.14,3.08,
1305,華夏,15192.62,17.79,10.35,10.89,8.93,
1307,三芳化工,9492.26,20.31,4.01,4.04,3.19,
1308,亞聚,6375.13,4.46,1.13,4.97,4.50,
1309,台達化工,21683.70,4.81,1.28,1.53,0.96,
1310,台苯,15382.65,12.85,9.98,10.06,7.72,
1312,國喬石化,24741.14,16.39,11.07,16.40,12.73,
1313,聯成,61258.50,5.07,1.76,1.55,1.23,
1314,中石化,38503.12,13.44,7.99,12.15,11.12,
1315,達新工業,2543.34,15.02,-0.35,9.56,9.04,
1316,上曜,1522.29,29.33,7.61,16.70,15.22,
1319,東陽,23006.58,22.87,8.04,10.50,8.40,
1321,大洋,4777.35,3.91,-3.25,-1.04,-1.50,
1323,永裕,3759.20,23.80,12.58,13.45,9.63,
1324,地球工業,1137.47,15.67,0.14,0.73,0.11,
1325,恒大,914.45,11.11,5.34,8.02,6.55,
1326,台化,407859.77,13.13,9.40,15.62,13.59,
1337,再生-KY,1464.80,-53.00,-124.27,-128.27,-128.92,
1338,廣華-KY,8062.42,24.49,8.65,8.42,6.13,
1339,昭輝,2854.73,26.16,13.55,13.11,9.97,
1340,勝悅-KY,2071.99,16.86,6.14,8.34,6.50,
1341,富林-KY,2902.09,17.26,7.51,7.09,5.20,
1402,遠東新,228661.93,19.42,6.47,9.21,8.04,
1410,南染,505.98,38.54,23.59,26.99,22.01,
1413,宏洲纖維,3651.04,7.76,5.44,5.64,6.64,
1414,東和,974.92,8.67,0.65,3.48,3.95,
1416,廣豐,271.00,70.14,-58.96,88.83,92.27,
1417,嘉裕,1499.66,16.41,-25.81,-14.46,-15.57,
1418,東華,653.06,-17.17,-30.97,-33.35,-33.37,
1419,新紡,1605.98,25.53,-1.48,17.40,17.37,
1423,利華羊毛,761.09,10.16,4.48,14.46,13.49,
1432,大魯閣實業,1020.87,71.89,-22.33,-21.19,-21.32,
1434,福懋興業,44545.05,11.86,5.52,14.10,11.94,
1435,中福國際,30.14,94.39,-25.49,-40.56,-40.76,
1436,華友聯,2621.47,27.04,17.54,15.26,13.63,
1437,勤益投控,583.07,70.17,52.94,51.68,42.81,
1438,裕豐,0.02,-211.76,-48211.76,-69876.47,-69876.47,
1439,中和羊毛,264.02,3.21,-26.31,-27.02,-26.06,
1440,南紡,24946.09,10.96,2.74,5.22,4.26,
1441,大東紡織,1624.25,-2.73,-16.29,60.71,55.70,
1442,名軒,944.58,29.17,13.94,15.05,12.79,
1443,立益紡織,1128.16,-1.24,-17.94,-52.28,-54.15,
1444,力麗,12882.07,7.04,1.41,3.79,2.87,
1445,大宇紡織,1572.27,5.18,-3.02,-2.26,-1.54,
1446,宏和,447.13,5.61,-17.15,-12.55,-6.40,
1447,力鵬,17599.27,1.91,-2.05,0.97,1.06,
1449,佳和實業,2459.08,5.62,-10.02,-6.76,-6.71,
1451,年興紡織,8799.52,9.79,3.22,6.32,4.56,
1452,宏益,2130.85,14.61,8.74,11.04,9.15,
1453,大將,28.28,-1.69,-144.68,1187.75,1185.55,
1454,台富,1947.91,7.47,0.06,0.68,1.04,
1455,集盛,15832.05,3.01,-0.16,0.68,0.57,
1456,怡華,474.36,21.95,18.63,4.57,2.60,
1457,宜進,5646.98,12.36,7.29,13.10,12.48,
1459,聯發紡織,3519.25,0.18,-4.58,-10.51,-10.63,
1460,宏遠,9405.38,17.97,2.53,2.94,1.67,
1463,強盛染整,972.88,36.22,23.54,33.78,31.66,
1464,得力實業,9132.40,16.03,3.40,3.47,2.78,
1465,偉全實業,697.15,12.99,0.34,4.07,-7.86,
1466,聚隆,4106.56,3.38,-2.44,-2.77,-2.54,
1467,南緯實業,7417.89,17.72,-0.85,0.68,-0.59,
1468,昶和纖維,921.04,15.08,-2.83,4.42,4.42,
1470,大統新創,754.46,22.28,7.08,8.12,6.48,
1471,首利,1282.30,-6.58,-25.93,-25.63,-25.30,
1472,三洋紡,599.25,0.50,-11.44,-11.72,-11.34,
1473,台南企業,8326.36,12.82,0.06,1.32,0.78,
1474,弘裕,3617.56,11.42,2.62,4.00,2.89,
1475,本盟光電,53.35,-100.35,-137.32,-95.37,-95.67,
1476,儒鴻,27578.21,28.82,19.24,19.85,15.88,
1477,聚陽實業,23929.64,19.82,8.26,8.16,6.36,
1503,士電,24983.82,18.43,6.55,8.59,5.89,
