公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),合計：共 876 家
1101,台泥,68952.11,18.16,13.41,13.38,10.04,
1102,亞泥,45349.04,13.14,9.26,11.53,9.55,
1103,嘉泥,1565.23,15.08,-6.18,0.79,-0.73,
1104,環球水泥,3287.86,12.89,4.11,32.49,30.60,
1108,幸福水泥,2592.87,7.91,1.54,1.16,0.80,
1109,信大水泥,3743.41,19.31,11.26,12.34,10.15,
1110,東泥,1141.61,-3.58,-8.54,0.44,0.47,
1201,味全公司,13169.21,30.21,0.77,2.77,1.35,
1203,味王公司,4633.52,32.37,16.71,17.09,12.47,
1210,大成長城,55967.03,13.50,3.82,4.03,3.15,
1213,大飲,535.97,11.64,2.24,2.99,2.18,
1215,卜蜂企業,14759.53,16.50,8.61,9.16,7.30,
1216,統一,305037.14,33.69,6.38,8.75,7.36,
1217,愛之味,3371.91,31.85,0.51,0.53,0.33,
1218,泰山企業,5852.52,18.01,0.11,5.34,5.14,
1219,福壽實業,8016.36,7.93,-0.40,0.06,-0.23,
1220,台榮,1699.44,12.36,3.60,5.18,4.18,
1225,福懋油,7970.12,9.92,4.52,4.74,3.77,
1227,佳格,19370.72,28.31,10.42,10.00,7.88,
1229,聯華實業,3582.74,21.69,10.13,65.64,63.58,
1231,聯華食品,5312.64,20.49,5.74,6.34,5.17,
1232,大統益,12700.09,9.84,5.94,5.87,4.86,
1233,天仁,1594.66,57.20,9.80,10.14,8.44,
1234,黑松,7046.10,26.15,2.22,7.48,6.43,
1235,興泰,63.72,27.42,-10.13,532.18,473.98,
1236,宏亞食品,1290.40,23.49,-2.36,-1.88,-2.03,
1256,鮮活果汁-KY,2405.25,30.54,16.85,16.73,10.79,
1262,綠悅-KY,4867.23,24.50,18.04,18.48,15.59,
1301,台塑,153641.84,16.28,10.82,26.31,23.77,
1303,南亞塑膠,224643.26,16.47,9.73,18.99,16.08,
1304,台聚,42866.48,12.38,5.96,6.10,4.75,
1305,華夏,10928.13,18.54,10.92,10.47,8.71,
1307,三芳化工,7653.07,31.02,14.20,13.16,10.35,
1308,亞聚,4808.12,11.30,7.80,11.47,9.87,
1309,台達化工,14346.92,6.62,2.71,2.46,1.80,
1310,台苯,10945.70,12.19,9.35,10.09,8.06,
1312,國喬石化,17079.01,15.77,10.05,16.81,13.58,
1313,聯成,36163.35,7.64,3.61,6.06,5.04,
1314,中石化,24388.95,15.36,10.16,21.04,20.24,
1315,達新工業,2077.45,18.31,3.23,9.37,9.29,
1316,上曜,615.87,21.89,-8.72,-5.36,-5.90,
1319,東陽,17987.23,24.43,10.34,12.24,9.61,
1321,大洋,3294.82,5.53,-2.16,-0.11,-0.60,
1323,永裕,2359.14,23.74,12.41,12.36,9.58,
1324,地球工業,886.31,15.14,-2.06,9.60,6.70,
1325,恒大,648.36,13.30,7.07,5.39,3.82,
1326,台化,259629.85,14.47,10.44,18.26,16.41,
1337,再生-KY,3471.36,16.60,6.28,7.47,5.39,
1338,廣華-KY,5718.67,26.64,11.87,12.49,9.33,
1339,昭輝,2033.64,31.68,18.22,12.99,9.77,
1340,勝悅-KY,2533.37,33.92,28.58,29.25,24.38,
1402,遠東新,159663.80,23.90,7.55,8.53,7.09,
1410,南染,406.15,37.45,22.53,22.89,18.70,
1413,宏洲纖維,2338.74,5.06,2.79,2.65,2.65,
1414,東和,574.97,6.11,-5.27,18.67,18.57,
1416,廣豐,2150.05,28.75,6.95,7.31,7.22,
1417,嘉裕,1565.54,14.09,-23.36,-20.03,-20.05,
1418,東華,1233.80,-8.79,-17.44,-18.95,-19.23,
1419,新紡,1018.04,18.08,-9.37,9.52,9.91,
1423,利華羊毛,426.01,5.97,0.07,11.42,10.53,
1432,大魯閣實業,918.12,90.25,-14.78,-28.93,-29.06,
1434,福懋興業,30929.41,12.39,5.87,14.79,13.55,
1435,中福國際,25.81,92.62,-13.19,28.97,28.97,
1436,華友聯,1478.48,23.82,14.92,11.96,9.84,
1437,勤益投控,420.20,70.34,53.30,69.30,60.57,
