公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用及保證責任準備提存（各項提存）,營業費用,繼續營業單位稅前淨利（淨損）,所得稅（費用）利益,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅利益（費用）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,所得稅費用（利益）,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,呆帳費用及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1101,台泥,,,,4950029.0,,,,--,--,,,,,,,17775812,--,2523760,2.03,,,,,13824659.0,,10322800.0,10322800.0,,--,20299572.0,--,98311776.0,79398862.0,--,--,18912914.0,--,--,18912914.0,--,13962885.0,-138226.0,3501859,9976772,7594247,2728553,,,,,,,,,,,
1102,亞泥,,,,2733762.0,,,,--,--,,,,,,,7895746,--,889334,1.74,,,,,8499159.0,,6665541.0,6665541.0,,--,8785080.0,--,64899248.0,54728230.0,--,--,10171018.0,540,0,10170478.0,--,7436716.0,1062443.0,1833618,2119539,5469007,1196534,,,,,,,,,,,
1103,嘉泥,,,,511805.0,,,,--,--,,,,,,,3538372,--,164255,1.39,,,,,1081543.0,,977309.0,977309.0,,--,3702627.0,--,2095607.0,1813286.0,--,--,282321.0,--,--,282321.0,--,-229484.0,1311027.0,104234,2725318,895198,82111,,,,,,,,,,,
1104,環球水泥,,,,387681.0,,,,--,--,,,,,,,1533947,--,-22487,2.16,,,,,1425214.0,,1389535.0,1389535.0,,--,1511460.0,--,4405376.0,3867468.0,--,--,537908.0,--,--,537908.0,--,150227.0,1274987.0,35679,121925,1411666,-22131,,,,,,,,,,,
1108,幸福水泥,,,,221218.0,,,,-775,--,,,,,,,-126733,--,-1968,-0.25,,,,,-119011.0,,-102303.0,-103078.0,,--,-128701.0,--,3434454.0,3305953.0,--,--,128501.0,--,--,128501.0,-7627,-100344.0,-18667.0,-16708,-25623,-101111,-1967,,,,,,,,,,,
1109,信大水泥,,,,401192.0,,,,--,--,,,,,,,483267,--,212019,1.32,,,,,897924.0,,710004.0,710004.0,,--,695286.0,--,5375877.0,4119863.0,--,--,1256014.0,--,--,1256014.0,--,854822.0,43102.0,187920,-14718,491910,218094,,,,,,,,,,,
1110,東泥,,,,93970.0,,,,--,--,,,,,,,88184,--,-3104,0.11,,,,,64015.0,,58307.0,58307.0,,--,85080.0,--,1716725.0,1759930.0,--,--,-43205.0,--,--,-43205.0,--,-137175.0,201190.0,5708,26773,61404,-3097,,,,,,,,,,,
1201,味全公司,,,,5219948.0,,,,--,--,,,,,,,491446,--,229044,1.31,,,,,1079896.0,,893425.0,893425.0,,--,720490.0,--,17749330.0,12195918.0,--,--,5553412.0,--,--,5553412.0,--,333464.0,746432.0,186471,-172935,664257,229168,,,,,,,,,,,
1203,味王公司,,,,967461.0,,,,0,--,,,,,,,402725,--,313742,1.86,,,,,1039152.0,,746401.0,746401.0,,--,716467.0,--,6195171.0,4174915.0,--,--,2020256.0,--,--,2020256.0,--,1052795.0,-13643.0,292751,-29934,442580,303821,,,,,,,,,,,
1210,大成長城,,,,7219586.0,,,,--,--,,,,,,,2260880,--,182649,3.28,,,,,3339822.0,,2652612.0,2652612.0,,--,2443529.0,--,75931014.0,65698281.0,--,--,10232733.0,--,--,10232733.0,--,3013147.0,326675.0,687210,-209083,2238817,413795,,,,,,,,,,,
1213,大飲,,,,69570.0,,,,--,--,,,,,,,1985,--,--,0.04,,,,,4337.0,,1985.0,1985.0,,--,1985.0,--,649522.0,581030.0,--,--,68492.0,--,--,68492.0,--,-1078.0,5415.0,2352,0,1985,--,,,,,,,,,,,
1215,卜蜂企業,,,,1581741.0,,,,--,--,,,,,,,1075223,--,42350,5.35,,,,,1835288.0,,1477381.0,1477381.0,,--,1117573.0,--,19865000.0,16537014.0,--,--,3327986.0,--,--,3327986.0,718,1746963.0,88325.0,357907,-359808,1433070,44311,,,,,,,,,,,
1216,統一,,,,110383596.0,,,,--,--,,,,,,,37585640,--,20431732,7.01,,,,,76487625.0,,59965087.0,59965087.0,,--,58017372.0,--,399860953.0,267120282.0,--,--,132740671.0,--,--,132740671.0,--,22357075.0,54130550.0,16522538,-1947715,39844853,20120234,,,,,,,,,,,
1217,愛之味,,,,1309742.0,,,,0,--,,,,,,,66672,--,10202,0.27,,,,,151908.0,,145153.0,145153.0,,--,76874.0,--,4146490.0,2841819.0,--,--,1304671.0,--,--,1304671.0,--,-5071.0,156979.0,6755,-68279,133106,12047,,,,,,,,,,,
1218,泰山企業,,,,1368037.0,,,,--,--,,,,,,,315378,--,307,0.93,,,,,344142.0,,317272.0,317272.0,,--,315685.0,--,7681801.0,6350437.0,--,--,1331364.0,539,832,1331657.0,--,-36380.0,380522.0,26870,-1587,316971,301,,,,,,,,,,,
1219,福壽實業,,,,885493.0,,,,--,--,,,,,,,144534,--,-86087,0.44,,,,,56845.0,,54983.0,54983.0,,--,58447.0,--,10822788.0,9926328.0,--,--,896460.0,--,--,896460.0,--,10967.0,45878.0,1862,3464,140727,-85744,,,,,,,,,,,
1220,台榮,,,,200568.0,,,,--,--,,,,,,,98058,--,7025,0.44,,,,,105198.0,,84163.0,84163.0,,--,105083.0,--,2366605.0,2091721.0,--,--,274884.0,--,--,274884.0,--,74316.0,30882.0,21035,20920,77340,6823,,,,,,,,,,,
1225,福懋油,,,,594659.0,,,,--,--,,,,,,,232749,--,73673,1.13,,,,,418564.0,,320546.0,320546.0,,--,306422.0,--,10757313.0,9721443.0,--,--,1035870.0,-217,--,1036087.0,27601,469029.0,-50465.0,98018,-14124,246873,73673,,,,,,,,,,,
1227,佳格,,,,4605077.0,,,,--,--,,,,,,,1964868,--,30413,2.39,,,,,2745403.0,,2209909.0,2209909.0,,--,1995281.0,--,26477924.0,19077969.0,--,--,7399955.0,--,--,7399955.0,--,2794878.0,-49475.0,535494,-214628,2173044,36865,,,,,,,,,,,
1229,聯華實業,,,,543069.0,,,,--,--,,,,,,,4651197,--,-15074,3.11,,,,,3051760.0,,2959218.0,2959218.0,,--,4636123.0,--,4845301.0,3820209.0,--,--,1025092.0,--,--,1025092.0,--,482023.0,2569737.0,92542,1676905,2974027,-14809,,,,,,,,,,,
1231,聯華食品,,,,1009921.0,,,,--,--,,,,,,,370826,--,273,2.54,,,,,494719.0,,407091.0,407091.0,,--,371099.0,--,7031023.0,5585534.0,--,--,1445489.0,--,--,1445489.0,--,435568.0,59151.0,87628,-35992,406095,996,,,,,,,,,,,
1232,大統益,,,,670600.0,,,,--,--,,,,,,,811454,--,14530,5.11,,,,,1004262.0,,831835.0,831835.0,,--,825984.0,--,16884341.0,15199125.0,--,--,1685216.0,--,--,1685216.0,--,1014616.0,-10354.0,172427,-5851,817239,14596,,,,,,,,,,,
1233,天仁,,,,1019252.0,,,,0,--,,,,,,,223086,--,257,1.94,,,,,210811.0,,175372.0,175372.0,,--,223343.0,--,2130351.0,917971.0,--,--,1212380.0,--,--,1212380.0,--,193128.0,17683.0,35439,47971,175424,-52,,,,,,,,,,,
1234,黑松,,,,2164981.0,,,,--,--,,,,,,,528093,--,--,1.35,,,,,643707.0,,543356.0,543356.0,,--,528093.0,--,9090115.0,6755080.0,--,--,2335035.0,--,--,2335035.0,--,170054.0,473653.0,100351,-15263,543356,--,,,,,,,,,,,
1235,興泰,,,,25164.0,,,,--,--,,,,,,,1392767,--,0,5.23,,,,,343401.0,,306864.0,306864.0,,--,1392767.0,--,76878.0,72080.0,--,--,4798.0,--,--,4798.0,--,-20366.0,363767.0,36537,1085903,306864,0,,,,,,,,,,,
1236,宏亞食品,,,,502642.0,,,,--,--,,,,,,,-43382,--,--,0.05,,,,,9204.0,,5067.0,5067.0,,--,-43382.0,--,1878973.0,1376229.0,--,--,502744.0,--,--,502744.0,--,102.0,9102.0,4137,-48449,5067,--,,,,,,,,,,,
1256,鮮活果汁-KY,,,,423185.0,,,,--,--,,,,,,,282350,--,30479,10.01,,,,,447374.0,,287162.0,287162.0,,--,312829.0,--,2917183.0,2044393.0,--,--,872790.0,--,--,872790.0,--,449605.0,-2231.0,160212,25667,286745,417,,,,,,,,,,,
1262,綠悅-KY,,,,410826.0,,,,--,--,,,,,,,563397,--,--,4.69,,,,,1010806.0,,765443.0,765443.0,,--,563397.0,--,6296238.0,4901796.0,--,--,1394442.0,--,--,1394442.0,--,983616.0,27190.0,245363,-202046,765443,--,,,,,,,,,,,
1301,台塑,,,,11530980.0,,,,--,--,,,,,,,61001128,--,--,7.76,,,,,54904343.0,,49382853.0,49382853.0,,--,61001128.0,--,206709755.0,173240579.0,--,--,33469176.0,--,--,33469176.0,--,21938196.0,32966147.0,5521490,11618275,49382853,--,,,,,,,,,,,
1303,南亞塑膠,,,,20117506.0,,,,--,--,,,,,,,49852604,--,-589292,6.87,,,,,62776174.0,,53974776.0,53974776.0,,--,49263312.0,--,306139952.0,256205610.0,--,--,49934342.0,0,32789,49967131.0,--,29849625.0,32926549.0,8801398,-4711464,54521016,-546240,,,,,,,,,,,
1304,台聚,,,,3749265.0,,,,-2197,--,,,,,,,970032,--,1369267,1.06,,,,,3488270.0,,2712050.0,2709853.0,,--,2339299.0,--,58133943.0,51007011.0,--,--,7126932.0,--,--,7126932.0,--,3377667.0,110603.0,776220,-370554,1111290,1598563,,,,,,,,,,,
1305,華夏,,,,1126143.0,,,,-2197,--,,,,,,,1242878,--,68942,2.58,,,,,1616143.0,,1341471.0,1339274.0,,--,1311820.0,--,14701741.0,11924810.0,--,--,2776931.0,--,--,2776931.0,--,1650788.0,-34645.0,274672,-27454,1269808,69466,,,,,,,,,,,
1307,三芳化工,,,,1664746.0,,,,--,--,,,,,,,352011,--,--,2.27,,,,,1148267.0,,901060.0,901060.0,,--,352011.0,--,9855355.0,6951630.0,--,--,2903725.0,--,--,2903725.0,--,1238979.0,-90712.0,247207,-549049,901060,--,,,,,,,,,,,
1308,亞聚,,,,226186.0,,,,--,--,,,,,,,618691,0,--,1.09,,,,,655753.0,,565354.0,565354.0,,--,618691.0,0,6404467.0,5707391.0,--,--,697076.0,--,--,697076.0,--,470890.0,184863.0,90399,53337,565354,--,,,,,,,,,,,
1309,台達化工,,,,757758.0,,,,--,--,,,,,,,526432,--,--,1.53,,,,,677852.0,,502079.0,502079.0,,--,526432.0,--,19821042.0,18387338.0,--,--,1433704.0,--,--,1433704.0,--,675946.0,1906.0,175773,24353,502079,--,,,,,,,,,,,
1310,台苯,,,,406553.0,,,,--,--,,,,,,,1273709,--,-74503,2.0,,,,,1246138.0,,984593.0,984593.0,,--,1199206.0,--,14750826.0,13061610.0,--,--,1689216.0,--,--,1689216.0,--,1282663.0,-36525.0,261545,214613,1055749,-71156,,,,,,,,,,,
1312,國喬石化,,,,1310168.0,,,,--,--,,,,,,,3310967,--,221460,3.64,,,,,4183075.0,,3447650.0,3447650.0,,--,3532427.0,--,23350965.0,19556980.0,--,--,3793985.0,--,--,3793985.0,--,2483817.0,1699258.0,735425,84777,3288642,159008,,,,,,,,,,,
