公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1101,台泥,,,,1139949.0,,1752218,,--,--,,,,,,,8436811,--,-60363,0.69,,,,,4617588.0,2865370.0,2865370.0,,--,8376448.0,--,24179214.0,18388574.0,--,--,5790640.0,--,--,5790640.0,--,4650691.0,-33103.0,5511078,2945170,-79800,,,,,,,,,,,
1102,亞泥,,,,656029.0,,635482,,--,--,,,,,,,598981,--,731044,0.6,,,,,3050829.0,2415347.0,2415347.0,,--,1330025.0,--,16573882.0,13244409.0,--,--,3329473.0,0,260,3329733.0,--,2673704.0,377125.0,-1085322,1897059,518288,,,,,,,,,,,
1103,嘉泥,,,,105480.0,,33222,,--,--,,,,,,,215576,--,2739,0.24,,,,,193386.0,160164.0,160164.0,,--,218315.0,--,471257.0,416427.0,--,--,54830.0,--,--,54830.0,--,-50650.0,244036.0,58151,152305,7859,,,,,,,,,,,
1104,環球水泥,,,,89123.0,,8027,,--,--,,,,,,,-153516,--,-942,0.01,,,,,10391.0,2364.0,2364.0,,--,-154458.0,--,1166097.0,1027573.0,--,--,138524.0,--,--,138524.0,--,49401.0,-39010.0,-156822,3306,-942,,,,,,,,,,,
1108,幸福水泥,,,,57388.0,,-24955,,-179,--,,,,,,,-9594,--,-1130,-0.01,,,,,-30909.0,-5954.0,-6133.0,,--,-10724.0,--,832706.0,812140.0,--,--,20566.0,--,--,20566.0,2249,-34573.0,3664.0,-4591,-5002,-1131,,,,,,,,,,,
1109,信大水泥,,,,95485.0,,36695,,--,--,,,,,,,157791,--,65440,0.34,,,,,207001.0,170306.0,170306.0,,--,223231.0,--,1061381.0,820373.0,--,--,241008.0,--,--,241008.0,--,145523.0,61478.0,52925,122720,47586,,,,,,,,,,,
1110,東泥,,,,26900.0,,-3921,,--,--,,,,,,,21839,--,4,0.03,,,,,11428.0,15349.0,15349.0,,--,21843.0,--,412490.0,378033.0,--,--,34457.0,--,--,34457.0,--,7557.0,3871.0,6494,15304,45,,,,,,,,,,,
1201,味全公司,,,,1127838.0,,-97703,,--,--,,,,,,,143843,--,11399,0.23,,,,,30528.0,128231.0,128231.0,,--,155242.0,--,3917347.0,2812490.0,--,--,1104857.0,--,--,1104857.0,--,-22981.0,53509.0,27011,116972,11259,,,,,,,,,,,
1203,味王公司,,,,227225.0,,90582,,--,--,,,,,,,78884,--,100598,0.31,,,,,242750.0,152168.0,152168.0,,--,179482.0,--,1447466.0,958988.0,--,--,488478.0,0,0,488478.0,--,261253.0,-18503.0,27314,73837,78331,,,,,,,,,,,
1210,大成長城,,,,1965868.0,,170332,,--,--,,,,,,,992788,--,211107,1.16,,,,,1094584.0,924252.0,924252.0,,--,1203895.0,--,17123119.0,14570928.0,--,--,2552191.0,--,--,2552191.0,--,586323.0,508261.0,279643,793373,130879,,,,,,,,,,,
