公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,本期綜合損益總額,淨利（淨損）歸屬於共同控制下前手權益,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,其他綜合損益（淨額）,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於非控制權益,利息以外淨收益,淨收益,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,收入,支出,其他綜合損益
1101,台泥,,,,3033883.0,,3077661,,--,--,,,--,,,,,19541962,--,771418,2.19,,,,,14938447.0,11860786.0,11860786.0,,20313380.0,--,56723486.0,40912170.0,--,--,15811316.0,--,--,15811316.0,--,12777433.0,2161014.0,8452594,11181977,678809,,,,,,,,,,,
1102,亞泥,,,,1866120.0,,3231878,,--,--,,,--,,,,,12398491,--,2436398,2.91,,,,,14666819.0,11434941.0,11434941.0,,14834889.0,--,43805590.0,31070878.0,--,--,12734712.0,--,0,12734712.0,--,10868592.0,3798227.0,3399948,9119017,2315924,,,,,,,,,,,
1103,嘉泥,,,,233328.0,,120304,,603655,--,,,--,,,,,3632658,--,174753,1.13,,,,,304980.0,184676.0,788331.0,,3807411.0,--,890409.0,771777.0,--,--,118632.0,--,--,118632.0,--,-114696.0,419676.0,3019080,728351,59980,,,,,,,,,,,
1104,環球水泥,,,,201673.0,,17900,,--,--,,,--,,,,,718732,--,2384,0.7,,,,,477212.0,459312.0,459312.0,,721116.0,--,2381467.0,2150489.0,--,--,230978.0,--,--,230978.0,--,29305.0,447907.0,261804,456928,2384,,,,,,,,,,,
1108,幸福水泥,,,,112653.0,,-8061,,0,--,,,--,,,,,19683,--,0,-0.04,,,,,-23662.0,-15601.0,-15601.0,,19683.0,--,1735453.0,1638679.0,--,--,96774.0,--,--,96774.0,4120,-11759.0,-11903.0,35284,-15601,0,,,,,,,,,,,
1109,信大水泥,,,,223020.0,,342366,,--,--,,,--,,,,,384370,--,239609,1.04,,,,,923497.0,581131.0,581131.0,,623979.0,--,3572170.0,2418983.0,--,--,1153187.0,--,--,1153187.0,--,930167.0,-6670.0,42848,355818,225313,,,,,,,,,,,
1110,東泥,,,,40675.0,,6787,,--,--,,,--,,,,,116898,--,199,0.04,,,,,31823.0,25036.0,25036.0,,117097.0,--,781597.0,747413.0,--,--,34184.0,--,--,34184.0,--,-6491.0,38314.0,92061,24861,175,,,,,,,,,,,
1201,味全公司,,,,2791142.0,,210599,,--,--,,,--,,,,,1207603,--,486,2.31,,,,,1378394.0,1167795.0,1167795.0,,1208089.0,--,9773386.0,6817356.0,--,--,2956030.0,--,--,2956030.0,--,164888.0,1213506.0,40294,1167361,434,,,,,,,,,,,
1203,味王公司,,,,517601.0,,112056,,0,--,,,--,,,,,324178,--,184563,1.02,,,,,471964.0,359908.0,359908.0,,508741.0,--,3052938.0,2086767.0,--,--,966171.0,0,0,966171.0,--,448570.0,23394.0,148833,243209,116699,,,,,,,,,,,
1210,大成長城,,,,3967909.0,,396549,,--,--,,,--,,,,,1680884,--,173383,1.42,,,,,1610039.0,1213490.0,1213490.0,,1854267.0,--,37169736.0,31691578.0,--,--,5478158.0,--,--,5478158.0,--,1510249.0,99790.0,640777,1052034,161456,,,,,,,,,,,
1213,大飲,,,,32933.0,,-3330,,--,--,,,--,,,,,-22988,--,--,-0.41,,,,,-26320.0,-22990.0,-22990.0,,-22988.0,--,226003.0,208371.0,--,--,17632.0,--,--,17632.0,--,-15301.0,-11019.0,2,-22990,--,,,,,,,,,,,
1215,卜蜂企業,,,,742624.0,,170636,,-5190,--,,,--,,,,,1042206,--,18591,2.36,,,,,825073.0,654437.0,649247.0,,1060797.0,--,10185768.0,8629252.0,--,--,1556516.0,--,--,1556516.0,10852,824744.0,329.0,411550,631874,17373,,,,,,,,,,,
1216,統一,,,,60609261.0,,4446738,,--,--,,,--,,,,,12421733,--,5913395,1.94,,,,,20844565.0,16397827.0,16397827.0,,18335128.0,--,222271655.0,144681557.0,--,--,77590098.0,--,--,77590098.0,--,16980837.0,3863728.0,1937301,11045991,5351836,,,,,,,,,,,
1217,愛之味,,,,595000.0,,5966,,0,--,,,--,,,,,68287,--,10031,0.04,,,,,31536.0,25570.0,25570.0,,78318.0,--,2052804.0,1387470.0,--,--,665334.0,--,--,665334.0,--,70334.0,-38798.0,52748,17569,8001,,,,,,,,,,,
1218,泰山企業,,,,604904.0,,16983,,--,--,,,--,,,,,249391,--,186,0.5,,,,,259823.0,242840.0,242840.0,,249577.0,--,3616876.0,2967991.0,--,--,648885.0,707,1500,649678.0,--,44774.0,215049.0,6737,242654,186,,,,,,,,,,,
1219,福壽實業,,,,458905.0,,18118,,--,--,,,--,,,,,45164,--,-37442,0.14,,,,,25139.0,7021.0,7021.0,,7722.0,--,5978789.0,5492213.0,--,7000,493576.0,--,--,493576.0,--,34671.0,-9532.0,701,44315,-37294,,,,,,,,,,,
1220,台榮,,,,114447.0,,12719,,--,--,,,--,,,,,34184,--,9449,0.19,,,,,56352.0,43633.0,43633.0,,43633.0,--,1307138.0,1135898.0,--,--,171240.0,--,--,171240.0,--,56793.0,-441.0,0,34184,9449,,,,,,,,,,,
1225,福懋油,,,,285880.0,,43096,,--,--,,,--,,,,,157166,--,21400,0.69,,,,,215248.0,172152.0,172152.0,,178566.0,--,5111461.0,4645095.0,11174,--,477540.0,-999,--,478539.0,274,192933.0,22315.0,6414,150752,21400,,,,,,,,,,,
1227,佳格,,,,2350581.0,,393202,,--,--,,,--,,,,,1479778,--,25588,1.54,,,,,1808466.0,1415264.0,1415264.0,,1505366.0,--,13407620.0,9319511.0,--,--,4088109.0,--,--,4088109.0,--,1737528.0,70938.0,90102,1399795,15469,,,,,,,,,,,
1229,聯華實業,,,,383041.0,,96928,,--,--,,,--,,,,,3130477,--,262011,1.25,,,,,1382161.0,1285233.0,1285233.0,,3392488.0,--,3253332.0,2726267.0,--,--,527065.0,--,--,527065.0,--,144024.0,1238137.0,2107255,1309712,-24479,,,,,,,,,,,
1231,聯華食品,,,,636641.0,,56042,,--,--,,,--,,,,,205502,--,932,1.22,,,,,260046.0,204004.0,204004.0,,206434.0,--,4149226.0,3298972.0,--,--,850254.0,--,--,850254.0,--,213613.0,46433.0,2430,203247,757,,,,,,,,,,,
1232,大統益,,,,387967.0,,131705,,--,--,,,--,,,,,508786,--,12204,3.18,,,,,652695.0,520990.0,520990.0,,520990.0,--,8230892.0,7218718.0,--,--,1012174.0,--,--,1012174.0,--,624207.0,28488.0,0,508786,12204,,,,,,,,,,,
1233,天仁,,,,547255.0,,20275,,--,--,,,--,,,,,57460,--,271,0.95,,,,,106120.0,85845.0,85845.0,,57731.0,--,1099704.0,461333.0,--,--,638371.0,0,0,638371.0,--,91116.0,15004.0,-28114,85639,206,,,,,,,,,,,
1234,黑松,,,,894663.0,,41382,,--,--,,,--,,,,,324232,--,--,0.8,,,,,363711.0,322329.0,322329.0,,324232.0,--,4151197.0,3164772.0,--,--,986425.0,--,--,986425.0,--,91762.0,271949.0,1903,322329,--,,,,,,,,,,,
1235,興泰,,,,6641.0,,28,,--,--,,,--,,,,,-65231,--,--,-0.56,,,,,-53326.0,-53354.0,-53354.0,,-65231.0,--,13371.0,12260.0,--,--,1111.0,--,--,1111.0,--,-5530.0,-47796.0,-11877,-53354,--,,,,,,,,,,,
1236,宏亞食品,,,,236009.0,,4039,,--,--,,,--,,,,,-150357,--,0,-0.4,,,,,-39556.0,-43595.0,-43595.0,,-150357.0,--,820821.0,634518.0,--,--,186303.0,--,--,186303.0,--,-49706.0,10150.0,-106762,-43595,--,,,,,,,,,,,
1256,鮮活果汁-KY,,,,294485.0,,104376,,--,--,,,--,,,,,294255,--,87,8.16,,,,,380503.0,276127.0,276127.0,,294342.0,--,1729872.0,1070332.0,--,--,659540.0,--,--,659540.0,--,365055.0,15448.0,18215,276016,111,,,,,,,,,,,
1262,綠悅-KY,,,,178980.0,,-42986,,--,--,,,--,,,,,-149889,--,--,-1.53,,,,,-293058.0,-250072.0,-250072.0,,-149889.0,--,1827258.0,1939103.0,--,--,-111845.0,--,--,-111845.0,--,-290825.0,-2233.0,100183,-250072,--,,,,,,,,,,,
1301,台塑,,,,5885052.0,,3408835,,--,--,,,--,,,,,26049963,--,--,2.91,,,,,21905809.0,18496974.0,18496974.0,,26049963.0,--,109581363.0,90814049.0,--,--,18767314.0,--,--,18767314.0,--,12882262.0,9023547.0,7552989,18496974,--,,,,,,,,,,,
1303,南亞塑膠,,,,8777351.0,,1970913,,--,--,,,--,,,,,17087893,--,-80252,1.38,,,,,12773726.0,10802813.0,10802813.0,,17007641.0,--,142771871.0,129433934.0,--,--,13337937.0,--,20190,13358127.0,--,4580776.0,8192950.0,6204828,10909119,-106306,,,,,,,,,,,
1304,台聚,,,,1913768.0,,429448,,4397,--,,,--,,,,,857614,--,700024,0.65,,,,,1712637.0,1283189.0,1287586.0,,1557638.0,--,27994606.0,24855023.0,--,--,3139583.0,--,--,3139583.0,--,1225815.0,486822.0,270052,696061,591525,,,,,,,,,,,
1305,華夏,,,,590344.0,,54811,,4397,--,,,--,,,,,252368,--,4943,0.44,,,,,289110.0,234299.0,238696.0,,257311.0,--,7582278.0,6778136.0,--,--,804142.0,--,--,804142.0,--,213798.0,75312.0,18615,233759,4937,,,,,,,,,,,
1307,三芳化工,,,,812084.0,,99280,,--,--,,,--,,,,,284600,--,--,0.5,,,,,300129.0,200849.0,200849.0,,284600.0,--,4991350.0,3915290.0,--,--,1076060.0,--,--,1076060.0,--,263976.0,36153.0,83751,200849,--,,,,,,,,,,,
1308,亞聚,,,,117399.0,,71865,,--,--,,,--,,,,,382808,0,--,0.62,,,,,412875.0,341010.0,341010.0,,382808.0,0,3395312.0,2971509.0,--,--,423803.0,--,--,423803.0,--,306404.0,106471.0,41798,341010,--,,,,,,,,,,,
1309,台達化工,,,,373664.0,,109667,,--,--,,,--,,,,,311607,--,--,0.91,,,,,415257.0,305590.0,305590.0,,311607.0,--,9081896.0,8351656.0,--,--,730240.0,--,--,730240.0,--,356576.0,58681.0,6017,305590,--,,,,,,,,,,,
1310,台苯,,,,203073.0,,84206,,--,--,,,--,,,,,647539,--,-4627,1.22,,,,,718847.0,634641.0,634641.0,,642912.0,--,6255606.0,5330073.0,--,--,925533.0,--,--,925533.0,60,722520.0,-3673.0,8271,641542,-6901,,,,,,,,,,,
1312,國喬石化,,,,643675.0,,424350,,--,--,,,--,,,,,1328454,--,-50390,1.42,,,,,1758104.0,1333754.0,1333754.0,,1278064.0,--,10546332.0,8935549.0,--,--,1610783.0,--,--,1610783.0,--,967108.0,790996.0,-55690,1295697,38057,,,,,,,,,,,
1313,聯成,,,,1163040.0,,-166141,,--,--,,,--,,,,,1117072,--,--,-0.42,,,,,-703140.0,-536999.0,-536999.0,,1117072.0,--,31299767.0,30783157.0,--,--,516610.0,--,--,516610.0,--,-646430.0,-56710.0,1654071,-536999,--,,,,,,,,,,,
1314,中石化,,,,963425.0,,50364,,--,--,,,--,,,,,1246261,--,331,0.34,,,,,1001585.0,951221.0,951221.0,,1246592.0,--,16435256.0,15210058.0,--,--,1225198.0,--,--,1225198.0,--,261773.0,739812.0,295371,953384,-2163,,,,,,,,,,,
1315,達新工業,,,,195293.0,,2496,,--,--,,,--,,,,,686214,--,1134,2.54,,,,,487981.0,485485.0,485485.0,,687348.0,--,1117700.0,923135.0,--,--,194565.0,--,--,194565.0,--,-728.0,488709.0,201863,484469,1016,,,,,,,,,,,
1316,上曜,,,,142477.0,,8505,,45268,--,,,--,,,,,-86548,--,31982,-0.53,,,,,-96237.0,-104742.0,-59474.0,,-54566.0,--,268291.0,237806.0,--,--,30485.0,--,--,30485.0,--,-111992.0,15755.0,4908,-86224,26750,,,,,,,,,,,
1319,東陽,,,,1586781.0,,296351,,--,--,,,--,,,,,1154853,--,-61134,1.75,,,,,1258390.0,962039.0,962039.0,,1093719.0,--,10590969.0,7968801.0,--,--,2622168.0,--,--,2622168.0,--,1035387.0,223003.0,131680,1032405,-70366,,,,,,,,,,,
1321,大洋,,,,162366.0,,5,,--,--,,,--,,,,,-260834,--,--,0.04,,,,,8963.0,8958.0,8958.0,,-260834.0,--,2226566.0,2115516.0,--,--,111050.0,--,--,111050.0,--,-51316.0,60279.0,-269792,8958,--,,,,,,,,,,,
1323,永裕,,,,195741.0,,43567,,--,--,,,--,,,,,148894,--,28972,1.52,,,,,210326.0,166759.0,166759.0,,177866.0,--,1747440.0,1351066.0,--,--,396374.0,--,--,396374.0,--,200633.0,9693.0,11107,137787,28972,,,,,,,,,,,
1324,地球工業,,,,93506.0,,3640,,--,--,,,--,,,,,3555,--,0,0.01,,,,,4132.0,492.0,492.0,,3555.0,--,583878.0,487494.0,--,--,96384.0,--,--,96384.0,--,2878.0,1254.0,3063,492,0,,,,,,,,,,,
1325,恒大,,,,26836.0,,5995,,--,--,,,--,,,,,25902,--,-253,0.27,,,,,27769.0,21774.0,21774.0,,25649.0,--,419831.0,374964.0,--,--,44867.0,--,--,44867.0,--,18031.0,9738.0,3875,22683,-909,,,,,,,,,,,
1326,台化,,,,7781111.0,,3361501,,--,--,,,--,,,,,23690543,--,2927885,2.45,,,,,20263548.0,16902047.0,16902047.0,,26618428.0,--,173298891.0,151730878.0,--,--,21568013.0,--,--,21568013.0,--,13786902.0,6476646.0,9716381,14313803,2588244,,,,,,,,,,,
1337,再生-KY,,,,208160.0,,0,,--,--,,,--,,,,,-290467,--,--,-1.42,,,,,-381651.0,-381651.0,-381651.0,,-290467.0,--,637259.0,824716.0,--,--,-187457.0,--,--,-187457.0,--,-395617.0,13966.0,91184,-381651,--,,,,,,,,,,,
1338,廣華-KY,,,,648669.0,,85413,,--,--,,,--,,,,,262145,--,5237,2.24,,,,,267582.0,182169.0,182169.0,,267382.0,--,3528121.0,2620235.0,--,--,907886.0,--,--,907886.0,--,259217.0,8365.0,85213,187438,-5269,,,,,,,,,,,
1339,昭輝,,,,159797.0,,63810,,--,--,,,--,,,,,270100,--,-2049,3.69,,,,,333530.0,269720.0,269720.0,,268051.0,--,1297377.0,923676.0,--,--,373701.0,--,--,373701.0,--,213904.0,119626.0,-1669,273155,-3435,,,,,,,,,,,
1340,勝悅-KY,,,,75611.0,,3492,,--,--,,,--,,,,,-36998,--,--,-0.79,,,,,-106206.0,-109698.0,-109698.0,,-36998.0,--,648149.0,709250.0,--,--,-61101.0,--,--,-61101.0,--,-136712.0,30506.0,72700,-109698,--,,,,,,,,,,,
1341,富林-KY,,,,130461.0,,34909,,--,--,,,--,,,,,118724,--,--,2.29,,,,,148111.0,113202.0,113202.0,,118724.0,--,1414155.0,1128504.0,--,--,285651.0,--,--,285651.0,--,155190.0,-7079.0,5522,113202,--,,,,,,,,,,,
1402,遠東新,,,,15737495.0,,1399470,,--,--,,,--,,,,,7650397,--,2980145,1.1,,,,,9883673.0,8484203.0,8484203.0,,10630542.0,--,128646499.0,105188350.0,--,--,23458149.0,--,278,23458427.0,--,7720932.0,2162741.0,2146339,5521083,2963120,,,,,,,,,,,
1410,南染,,,,35931.0,,8048,,--,--,,,--,,,,,34739,--,590,0.47,,,,,42714.0,34666.0,34666.0,,35329.0,--,200316.0,128416.0,--,--,71900.0,--,--,71900.0,--,35969.0,6745.0,663,34076,590,,,,,,,,,,,
1413,宏洲纖維,,,,48943.0,,371,,--,--,,,--,,,,,--,--,--,0.56,,,,,74781.0,74410.0,74410.0,,73553.0,--,1690247.0,1576442.0,--,--,113805.0,--,--,113805.0,--,64862.0,9919.0,-857,--,--,,,,,,,,,,,
1414,東和,,,,35556.0,,-5087,,--,--,,,--,,,,,--,--,--,-0.08,,,,,-23863.0,-18776.0,-18776.0,,12532.0,--,428129.0,417887.0,--,--,10242.0,--,--,10242.0,--,-25314.0,1451.0,31308,--,--,,,,,,,,,,,
1416,廣豐,,,,139639.0,,2208,,--,--,,,--,,,,,22478,--,--,0.03,,,,,7788.0,5580.0,5580.0,,22478.0,--,143846.0,19998.0,--,--,123848.0,--,--,123848.0,--,-15791.0,23579.0,16898,5580,--,,,,,,,,,,,
1417,嘉裕,,,,278850.0,,10031,,--,--,,,--,,,,,251576,--,--,-0.11,,,,,-30519.0,-40550.0,-40550.0,,251576.0,--,699835.0,527203.0,--,--,172632.0,--,--,172632.0,--,-106218.0,75699.0,292126,-40550,--,,,,,,,,,,,
1418,東華,,,,36683.0,,68,,--,--,,,--,,,,,-93296,--,-11,-1.72,,,,,-93586.0,-93654.0,-93654.0,,-93307.0,--,141960.0,185070.0,--,--,-43110.0,--,--,-43110.0,221,-79572.0,-14014.0,347,-93643,-11,,,,,,,,,,,
1419,新紡,,,,227819.0,,1070,,--,--,,,--,,,,,454637,--,-4050,0.17,,,,,48361.0,47291.0,47291.0,,450587.0,--,869248.0,617419.0,--,--,251829.0,--,--,251829.0,--,24010.0,24351.0,403296,51341,-4050,,,,,,,,,,,
1423,利華羊毛,,,,17073.0,,392,,--,--,,,--,,,,,--,--,--,0.01,,,,,1585.0,1193.0,1193.0,,-457.0,--,264487.0,260803.0,--,--,3684.0,--,--,3684.0,--,-13389.0,14974.0,-1650,--,--,,,,,,,,,,,
1432,大魯閣實業,,,,597111.0,,-15,,--,--,,,--,,,,,-126646,--,-15041,-0.69,,,,,-130721.0,-130706.0,-130706.0,,-141687.0,--,600869.0,97158.0,--,--,503711.0,--,--,503711.0,--,-93400.0,-37321.0,-10981,-115797,-14909,,,,,,,,,,,
1434,福懋興業,,,,1494736.0,,585397,,--,--,,,--,,,,,3060974,--,351344,1.58,,,,,3565035.0,2979638.0,2979638.0,,3412318.0,--,24089595.0,21090582.0,--,--,2999013.0,--,--,2999013.0,--,1504277.0,2060758.0,432680,2659627,320011,,,,,,,,,,,
1435,中福國際,,,,18615.0,,0,,--,--,,,--,,,,,10504,--,0,0.11,,,,,13512.0,13512.0,13512.0,,10504.0,--,10694.0,662.0,--,--,10032.0,0,0,10032.0,--,-8583.0,22095.0,-3008,13512,0,,,,,,,,,,,
1436,華友聯,,,,73350.0,,12998,,--,--,,,--,,,,,50719,--,--,0.62,,,,,62760.0,49762.0,49762.0,,50719.0,--,622574.0,456496.0,--,--,166078.0,--,--,166078.0,--,92728.0,-29968.0,957,49762,--,,,,,,,,,,,
1437,勤益投控,,,,68098.0,,44228,,603744,--,,,--,,,,,1001783,--,17896,3.68,,,,,207426.0,163198.0,766942.0,,1019679.0,--,322689.0,86328.0,--,--,236361.0,--,--,236361.0,--,168263.0,39163.0,252737,749265,17677,,,,,,,,,,,
1438,裕豐,,,,4232.0,,--,,--,--,,,--,,,,,--,--,--,0.0,,,,,39.0,39.0,39.0,,39.0,--,6.0,44.0,--,--,-38.0,--,--,-38.0,--,-4270.0,4309.0,--,--,--,,,,,,,,,,,
1439,中和羊毛,,,,97437.0,,110450,,--,--,,,--,,,,,916634,--,--,9.96,,,,,1026953.0,916503.0,916503.0,,916634.0,--,106288.0,105107.0,--,--,1181.0,--,--,1181.0,--,-96256.0,1123209.0,131,916503,--,,,,,,,,,,,
1440,南紡,,,,983038.0,,-32167,,--,--,,,--,,,,,485186,--,16567,0.07,,,,,106193.0,138360.0,138360.0,,501753.0,--,11619975.0,10862325.0,--,--,757650.0,--,--,757650.0,--,-225388.0,331581.0,363393,122783,15577,,,,,,,,,,,
1441,大東紡織,,,,106337.0,,2913,,--,--,,,--,,,,,-132178,--,-3907,-2.1,,,,,-166529.0,-169442.0,-169442.0,,-136085.0,--,735594.0,781339.0,--,--,-45745.0,--,--,-45745.0,--,-152082.0,-14447.0,33357,-163933,-5509,,,,,,,,,,,
1442,名軒,,,,58590.0,,7439,,--,--,,,--,,,,,-35166,--,0,-0.12,,,,,-27995.0,-35434.0,-35434.0,,-35166.0,--,306160.0,279491.0,--,--,26669.0,--,--,26669.0,--,-31921.0,3926.0,268,-35434,0,,,,,,,,,,,
1443,立益紡織,,,,38702.0,,1567,,-118,--,,,--,,,,,44519,--,-11065,0.19,,,,,23416.0,21849.0,21731.0,,33454.0,--,343663.0,255997.0,--,--,87666.0,--,--,87666.0,--,48964.0,-25548.0,11723,26100,-4369,,,,,,,,,,,
1444,力麗,,,,354176.0,,79643,,--,--,,,--,,,,,350754,--,7993,0.38,,,,,433027.0,353384.0,353384.0,,358747.0,--,6257649.0,5743241.0,--,--,514408.0,--,62,514470.0,--,160294.0,272733.0,5363,358650,-5266,,,,,,,,,,,
1445,大宇紡織,,,,62615.0,,-5144,,0,--,,,--,,,,,-14903,0,0,-0.07,,,,,-14562.0,-9418.0,-9418.0,,-14903.0,0,723237.0,677661.0,--,--,45576.0,--,--,45576.0,--,-17039.0,2477.0,-5485,-9418,0,,,,,,,,,,,
1446,宏和,,,,50041.0,,3978,,--,--,,,--,,,,,-16207,--,--,-0.14,,,,,-15248.0,-19226.0,-19226.0,,-16207.0,--,224879.0,199075.0,--,--,25804.0,--,--,25804.0,--,-24237.0,8989.0,3019,-19226,--,,,,,,,,,,,
1447,力鵬,,,,342968.0,,20669,,--,--,,,--,,,,,93908,--,14658,0.16,,,,,186214.0,165545.0,165545.0,,108566.0,--,7757925.0,7524930.0,--,--,232995.0,--,--,232995.0,--,-109973.0,296187.0,-56979,138997,26548,,,,,,,,,,,
1449,佳和實業,,,,162092.0,,35927,,--,--,,,--,,,,,13142,--,-4363,-0.05,,,,,23145.0,-12782.0,-12782.0,,8779.0,--,1184451.0,1048578.0,--,--,135873.0,--,--,135873.0,--,-26219.0,49364.0,21561,-5780,-7002,,,,,,,,,,,
1451,年興紡織,,,,312447.0,,19662,,--,--,,,--,,,,,30045,--,-95,-0.02,,,,,14828.0,-4834.0,-4834.0,,29950.0,--,4312557.0,4086579.0,--,--,225978.0,--,--,225978.0,--,-86469.0,101297.0,34784,-4738,-96,,,,,,,,,,,
1452,宏益,,,,60637.0,,23923,,--,--,,,--,,,,,85751,--,--,0.66,,,,,111025.0,87102.0,87102.0,,85751.0,--,1025100.0,854022.0,--,--,171078.0,--,--,171078.0,--,110441.0,584.0,-1351,87102,--,,,,,,,,,,,
1453,大將,,,,14778.0,,13152,,--,--,,,--,,,,,7215,0,57,0.08,,,,,20424.0,7272.0,7272.0,,7272.0,0,502.0,271.0,--,--,231.0,--,--,231.0,--,-14547.0,34971.0,0,7215,57,,,,,,,,,,,
1454,台富,,,,83098.0,,5328,,--,--,,,--,,,,,25460,--,--,0.26,,,,,38093.0,32765.0,32765.0,,25460.0,--,983923.0,867846.0,--,--,116077.0,--,--,116077.0,-177,32802.0,5291.0,-7305,32765,--,,,,,,,,,,,
1455,集盛,,,,228571.0,,-8651,,--,--,,,--,,,,,21093,--,--,0.02,,,,,2069.0,10720.0,10720.0,,21093.0,--,6548335.0,6449420.0,--,--,98915.0,--,--,98915.0,--,-129656.0,131725.0,10373,10720,--,,,,,,,,,,,
1456,怡華,,,,36749.0,,3325,,--,--,,,--,,,,,--,--,--,0.0,,,,,3406.0,81.0,81.0,,-7388.0,--,469885.0,404441.0,--,--,65444.0,--,--,65444.0,--,28695.0,-25289.0,-7469,--,--,,,,,,,,,,,
1457,宜進,,,,137424.0,,33474,,--,--,,,--,,,,,216055,--,237387,1.04,,,,,499745.0,466271.0,466271.0,,453442.0,--,2651518.0,2335927.0,--,--,315591.0,--,--,315591.0,405422,583589.0,-83844.0,-12829,235548,230723,,,,,,,,,,,
1459,聯發紡織,,,,84210.0,,1378,,--,--,,,--,,,,,44865,--,242,0.03,,,,,11779.0,10401.0,10401.0,,45107.0,--,1751194.0,1736970.0,--,--,14224.0,--,--,14224.0,--,-69986.0,81765.0,34706,10159,242,,,,,,,,,,,
1460,宏遠,,,,729174.0,,82954,,--,--,,,--,,,,,135789,--,2,0.04,,,,,101998.0,19044.0,19044.0,,135791.0,--,4258762.0,3435733.0,--,--,823029.0,--,--,823029.0,-350,93505.0,8493.0,116747,19042,2,,,,,,,,,,,
1463,強盛染整,,,,41981.0,,3292,,--,--,,,--,,,,,73122,--,2818,0.43,,,,,76122.0,72830.0,72830.0,,75940.0,--,283194.0,219585.0,--,--,63609.0,--,--,63609.0,--,21628.0,54494.0,3110,70012,2818,,,,,,,,,,,
1464,得力實業,,,,635279.0,,24376,,--,--,,,--,,,,,329720,--,22043,0.86,,,,,329148.0,304772.0,304772.0,,351763.0,--,4828366.0,3974770.0,--,--,853596.0,--,--,853596.0,82501,300818.0,28330.0,46991,285657,19115,,,,,,,,,,,
1465,偉全實業,,,,130836.0,,109525,,1188599,--,,,--,,,,,431619,--,665978,3.74,,,,,-73584.0,-183109.0,1005490.0,,1097597.0,--,404158.0,368481.0,--,--,35677.0,--,--,35677.0,--,-95159.0,21575.0,92107,387867,617623,,,,,,,,,,,
1466,聚隆,,,,126109.0,,-14837,,0,--,,,--,,,,,8090,0,0,0.07,,,,,-7474.0,7363.0,7363.0,,8090.0,0,1826759.0,1683610.0,0,0,143149.0,0,0,143149.0,0,17040.0,-24514.0,727,7363,0,,,,,,,,,,,
1467,南緯實業,,,,596166.0,,75075,,--,--,,,--,,,,,-13239,--,4866,-0.2,,,,,33509.0,-41566.0,-41566.0,,-8373.0,--,3280476.0,2699850.0,--,--,580626.0,--,--,580626.0,--,-15540.0,49049.0,33193,-46339,4773,,,,,,,,,,,
